date,review_rate
2022/7/22/6,91.48
2022/7/20/21,91
2022/7/19/11,90.3
2022/7/19/6,90.16
2022/7/18/23,89.89
2022/7/18/4,88.93
2022/7/16/8,87.14
2022/7/16/4,86.83
2022/7/15/10,85.5
2022/7/15/6,85.25
2022/7/14/23,84.76
2022/7/14/11,83.7
2022/7/14/6,83.18
2022/7/14/1,82.78
2022/7/13/8,79.89
2022/7/13/3,78.59
2022/7/12/11,77.5
2022/7/12/9,69.06
2022/7/12/0,55.57
2022/7/11/16,47.35
2022/7/11/4,38.18
2022/7/10/8,29.18
2022/7/10/6,28.27
2022/7/9/23,25.85
2022/7/9/5,22.21
2022/7/8/11,20.84
2022/7/7/4,14.39
2022/7/6/1,11.72
